#compound,volumne,Formation_energy,Band_gap,A_e_negativity,A_valence_e,A_first_ionization,A_boiling_point,A_melting_point,A_atomic_radius,A_average_ionic_radius,B_e_negativity,B_valence_e,B_first_ionization,B_boiling_point,B_melting_point,B_atomic_radius,B_average_ionic_radius
NdN,34.452,-1.547,0.001,1.14,3,5.53,3373,1297,1.85,1.2765,3.04,5,14.534,77.36,63.05,0.65,0.63
NdO,32.228,-3.081,0.001,1.14,3,5.53,3373,1297,1.85,1.2765,3.44,6,13.618,90.2,54.8,0.6,1.26
NdP,51.207,-1.54,0.001,1.14,3,5.53,3373,1297,1.85,1.2765,2.19,5,10.486,550,317.3,1,0.55
NdS,47.625,-2.359,0.001,1.14,3,5.53,3373,1297,1.85,1.2765,2.58,6,10.36,717.87,388.36,1,0.88
NdAs,55.269,-1.508,0.001,1.14,3,5.53,3373,1297,1.85,1.2765,2.18,5,9.81,887,1090,1.15,0.66
NdSe,53.585,-1.836,0.001,1.14,3,5.53,3373,1297,1.85,1.2765,2.55,6,9.752,958,494,1.15,1.013333333
NdTe,64.446,-1.423,0.001,1.14,3,5.53,3373,1297,1.85,1.2765,2.1,6,9.009,1261,722.66,1.4,1.293333333
SmN,32.663,-1.67,0.001,1.17,3,5.64,2076,1345,1.85,1.229,3.04,5,14.534,77.36,63.05,0.65,0.63
SmO,30.625,-3.12,0.001,1.17,3,5.64,2076,1345,1.85,1.229,3.44,6,13.618,90.2,54.8,0.6,1.26
SmP,49.06,-1.574,0.001,1.17,3,5.64,2076,1345,1.85,1.229,2.19,5,10.486,550,317.3,1,0.55
SmS,45.588,-2.357,0.001,1.17,3,5.64,2076,1345,1.85,1.229,2.58,6,10.36,717.87,388.36,1,0.88
SmAs,53.016,-1.524,0.001,1.17,3,5.64,2076,1345,1.85,1.229,2.18,5,9.81,887,1090,1.15,0.66
SmSe,51.44,-1.816,0.001,1.17,3,5.64,2076,1345,1.85,1.229,2.55,6,9.752,958,494,1.15,1.013333333
SmTe,62.061,-1.383,0.001,1.17,3,5.64,2076,1345,1.85,1.229,2.1,6,9.009,1261,722.66,1.4,1.293333333
EuN,32.753,-0.996,0.001,1.2,3,5.67,1800,1099,1.85,1.1985,3.04,5,14.534,77.36,63.05,0.65,0.63
EuO,32.835,-3.138,0.001,1.2,3,5.67,1800,1099,1.85,1.1985,3.44,6,13.618,90.2,54.8,0.6,1.26
EuP,50.82,-1.029,0.001,1.2,3,5.67,1800,1099,1.85,1.1985,2.19,5,10.486,550,317.3,1,0.55
EuS,51.866,-2.481,0.001,1.2,3,5.67,1800,1099,1.85,1.1985,2.58,6,10.36,717.87,388.36,1,0.88
EuSe,58.742,-2.033,0.053,1.2,3,5.67,1800,1099,1.85,1.1985,2.55,6,9.752,958,494,1.15,1.013333333
EuTe,71.788,-1.684,0.001,1.2,3,5.67,1800,1099,1.85,1.1985,2.1,6,9.009,1261,722.66,1.4,1.293333333
GdN,31.03,-1.759,0.001,1.2,3,6.15,3523,1585,1.8,1.075,3.04,5,14.534,77.36,63.05,0.65,0.63
GdP,46.789,-1.588,0.001,1.2,3,6.15,3523,1585,1.8,1.075,2.19,5,10.486,550,317.3,1,0.55
GdS,43.983,-2.387,0.001,1.2,3,6.15,3523,1585,1.8,1.075,2.58,6,10.36,717.87,388.36,1,0.88
GdAs,51.269,-1.523,0.001,1.2,3,6.15,3523,1585,1.8,1.075,2.18,5,9.81,887,1090,1.15,0.66
GdSe,50.524,-1.85,0.001,1.2,3,6.15,3523,1585,1.8,1.075,2.55,6,9.752,958,494,1.15,1.013333333
GdTe,61.144,-1.399,0.001,1.2,3,6.15,3523,1585,1.8,1.075,2.1,6,9.009,1261,722.66,1.4,1.293333333
DyN,29.641,-1.895,0.051,1.22,2,5.94,2840,1680,1.75,1.131,3.04,5,14.534,77.36,63.05,0.65,0.63
DyP,45.538,-1.619,0.001,1.22,2,5.94,2840,1680,1.75,1.131,2.19,5,10.486,550,317.3,1,0.55
DyS,42.082,-2.33,0.001,1.22,2,5.94,2840,1680,1.75,1.131,2.58,6,10.36,717.87,388.36,1,0.88
DyAs,49.442,-1.534,0.001,1.22,2,5.94,2840,1680,1.75,1.131,2.18,5,9.81,887,1090,1.15,0.66
DySe,47.895,-1.747,0.001,1.22,2,5.94,2840,1680,1.75,1.131,2.55,6,9.752,958,494,1.15,1.013333333
DyTe,58.394,-1.279,0.001,1.22,2,5.94,2840,1680,1.75,1.131,2.1,6,9.009,1261,722.66,1.4,1.293333333
YC,33.042,0.042,0.001,1.22,3,6.38,3609,1799,1.8,1.04,2.55,4,11.26,4300,3800,0.7,0.3
YN,29.758,-1.879,0.147,1.22,3,6.38,3609,1799,1.8,1.04,3.04,5,14.534,77.36,63.05,0.65,0.63
YP,45.806,-1.629,0.001,1.22,3,6.38,3609,1799,1.8,1.04,2.19,5,10.486,550,317.3,1,0.55
YS,42.538,-2.327,0.001,1.22,3,6.38,3609,1799,1.8,1.04,2.58,6,10.36,717.87,388.36,1,0.88
YAs,49.7,-1.551,0.001,1.22,3,6.38,3609,1799,1.8,1.04,2.18,5,9.81,887,1090,1.15,0.66
YSe,48.336,-1.76,0.001,1.22,3,6.38,3609,1799,1.8,1.04,2.55,6,9.752,958,494,1.15,1.013333333
YTe,58.935,-1.307,0.001,1.22,3,6.38,3609,1799,1.8,1.04,2.1,6,9.009,1261,722.66,1.4,1.293333333
HoN,29.037,-1.932,0.084,1.23,3,6.018,2993,1734,1.75,1.041,3.04,5,14.534,77.36,63.05,0.65,0.63
HoP,44.859,-1.616,0.001,1.23,3,6.018,2993,1734,1.75,1.041,2.19,5,10.486,550,317.3,1,0.55
HoS,41.402,-2.305,0.001,1.23,3,6.018,2993,1734,1.75,1.041,2.58,6,10.36,717.87,388.36,1,0.88
HoAs,48.772,-1.523,0.001,1.23,3,6.018,2993,1734,1.75,1.041,2.18,5,9.81,887,1090,1.15,0.66
HoSe,47.156,-1.717,0.001,1.23,3,6.018,2993,1734,1.75,1.041,2.55,6,9.752,958,494,1.15,1.013333333
HoTe,57.617,-1.243,0.001,1.23,3,6.018,2993,1734,1.75,1.041,2.1,6,9.009,1261,722.66,1.4,1.293333333
ErN,28.488,-1.968,0.12,1.24,3,6.101,3141,1802,1.75,1.03,3.04,5,14.534,77.36,63.05,0.65,0.63
ErP,44.221,-1.611,0.001,1.24,3,6.101,3141,1802,1.75,1.03,2.19,5,10.486,550,317.3,1,0.55
ErS,40.789,-2.282,0.001,1.24,3,6.101,3141,1802,1.75,1.03,2.58,6,10.36,717.87,388.36,1,0.88
